compound_name,best_adduct,polarity,rtmin,rtmax,mono_mass,mz,obs_mz,file_type
L-Homoserine,[M+H]+,both,10.96063601,11.56067144,119.058244,120.06552,120.06545661582422,Mix1
L-Threonine,[M+H]+,both,10.04858216,10.96063601,119.058244,120.06552,120.06546637340017,Mix3
gamma-Amino-beta-hydroxybutyric acid,[M+H]+,both,11.56067144,12.30471537,119.058244,120.06552,120.06545172550798,Mix1
Dimethylsulfonioacetate,[M+H]+,pos,8.37571977,9.111960759,120.024502,121.031778,121.03164960854109,Mix5
Erythritol,[M-H]-,neg,7.395741045,8.25724743,122.05791,121.050634,121.0506738114419,Mix1
Phenylethylamine,[M+H]+,pos,6.323287177,7.606732572,121.08914899999999,122.096425,122.09633967730645,Mix1
1-Propanesulfonate,[M]-,neg,2.424661878,3.116289904,123.01214058000001,123.01214058000001,123.0121356763435,Mix2
Taurine,[M-H]-,both,9.149430142,10.10476226,125.014666,124.00739,124.00740624264539,Mix1
Picolinic acid,[M+H]+,both,9.665379578,14.03400817,123.032029,124.039305,124.03925532159388,Mix2
Isethionic acid,[M-H]-,neg,6.028259919,7.287780397,125.998682,124.991406,124.99140021033668,Mix1
Thymine,[M-H]-,both,2.811063199,3.827803593,126.042928,125.035652,125.0356789695889,Mix2
5-Methylcytosine,[M+H]+,both,5.224740622,6.616940943,125.058912,126.06618800000001,126.06605026560953,Mix6
Melamine,[M+H]+,pos,6.544547429,7.624639616,126.065394,127.07267,127.07253391967062,Mix5
5-Oxoproline,[M-H]-,both,5.990566839,7.262264971,129.042594,128.03531800000002,128.03534269843735,Mix4
Pipecolic acid,[M+H]+,both,8.502722753,9.229201278,129.078979,130.086255,130.08616528196177,Mix3
Itaconic acid,[M-H]-,neg,12.29419668,12.91770007,130.02661,129.01933400000001,129.0193810121774,Mix1
Propionylglycine,[M-H]-,both,3.223024769,4.748335923,131.058244,130.050968,130.0509902730618,Mix6
Hydroxyproline,[M-H]-,both,10.84958054,11.7453982,131.058244,130.050968,130.05101000497265,Mix3
Creatine,[M+H]+,both,10.98295194,11.53489983,131.069477,132.076753,132.07642497197082,Mix3
beta-Alaninebetaine,[M+H]+,both,9.42534504,10.02543139,131.094629,132.101905,132.10175166020827,Mix6
L-Isoleucine,[M+H]+,both,6.928985843,7.481065281,131.094629,132.101905,132.10187542876753,Mix3
L-Leucine,[M+H]+,both,6.400909859,7.000996204,131.094629,132.101905,132.10187078966973,Mix6
Malic acid,[M-H]-,neg,13.07315291,13.93722985,134.021525,133.014249,133.01427285783151,Mix4
L-Asparagine,[M+H]+,both,11.26926487,12.90087049,132.053493,133.060769,133.06073996234107,Mix3
L-Ornithine,[M+H]+,pos,16.48411359,18.37967013,132.089878,133.097154,133.09712054284813,Mix5
L-Aspartic acid,[M-H]-,both,12.56065002,13.73149161,133.037509,132.030233,132.03028147927142,Mix3
Adenine,[M+H]+,both,4.408623192,5.704809698,135.054495,136.061771,136.06165221935663,Mix4
Threonic acid,[M-H]-,neg,9.038755824,10.25291854,136.037175,135.029899,135.02992268716747,Mix6
Allopurinol,[M+H]+,both,4.164680433,5.035746229,136.038511,137.045787,137.04575561176298,Mix5
Hypoxanthine,[M+H]+,both,5.955204569,7.189214446,136.038511,137.045787,137.0457140527078,Mix6
Dimethylsulfoniopropionate,[M+H]+,pos,9.730089821,10.33538143,134.040152,135.047428,135.04725608975508,Mix1
Salicylic acid,[M-H]-,neg,1.89166441,2.545459219,138.031695,137.02441900000002,137.02439489286058,Mix4
Urocanic acid,[M+H]+,both,7.312249886,8.272284159,138.042928,139.05020399999998,139.0500922781734,Mix5
3-Aminopropanesulfonate,[M-H]-,both,11.2495655,12.13501292,139.030316,138.02304,138.02307957034677,Mix2
Homarine,[M+H]+,both,5.128426561,6.472541283,137.047679,138.05495499999998,138.05481153051207,Mix2
Trigonelline,[M+H]+,both,7.792653957,8.488713366,137.047679,138.05495499999998,138.05489261572123,Mix5
